Pathway,Pearson Coefficient,EC Pair
HPHB,-0.4261737993138922,1.2.1.75 - 6.4.1.2
HPHB,-0.09557763118116641,1.2.1.75 - 6.4.1.3
HPHB,0.299469435337372,1.3.1.84 - 2.3.1.9
HPHB,-0.27151353134536393,1.3.1.84 - 4.2.1.116
HPHB,0.16739115614393135,1.3.1.84 - 4.2.1.17
HPHB,0.24667416978408435,1.3.1.84 - 5.1.99.1
HPHB,-0.22167025740627544,1.3.1.84 - 5.3.3.3
HPHB,0.12800309021000372,1.3.1.84 - 5.4.99.2
HPHB,0.16008981875639877,1.3.1.84 - 6.4.1.2
HPHB,0.3709877533618854,1.3.1.84 - 6.4.1.3
HPHB,-0.14562762087597148,2.3.1.9 - 4.2.1.116
HPHB,0.6830440602872392,2.3.1.9 - 4.2.1.17
HPHB,0.019947665890976407,2.3.1.9 - 5.1.99.1
HPHB,0.006682901932088041,2.3.1.9 - 5.3.3.3
HPHB,0.49735064975053966,2.3.1.9 - 5.4.99.2
HPHB,0.07552543366998613,2.3.1.9 - 6.4.1.2
HPHB,0.740221954986522,2.3.1.9 - 6.4.1.3
HPHB,-0.10428642889724646,4.2.1.116 - 4.2.1.17
HPHB,-0.13680025631988654,4.2.1.116 - 5.1.99.1
HPHB,0.1628000965914653,4.2.1.116 - 5.3.3.3
HPHB,0.1960844176738793,4.2.1.116 - 5.4.99.2
HPHB,-0.5083523127097914,4.2.1.116 - 6.4.1.2
HPHB,-0.14869416716219422,4.2.1.116 - 6.4.1.3
HPHB,-0.007881002959323268,4.2.1.17 - 5.1.99.1
HPHB,-0.026092630507053263,4.2.1.17 - 5.3.3.3
HPHB,0.4761093662655625,4.2.1.17 - 5.4.99.2
HPHB,-0.04081642267059855,4.2.1.17 - 6.4.1.2
HPHB,0.5023120672194311,4.2.1.17 - 6.4.1.3
HPHB,-0.015672258808124378,5.1.99.1 - 5.3.3.3
HPHB,-0.0630527190480294,5.1.99.1 - 5.4.99.2
HPHB,-0.30743724067617134,5.1.99.1 - 6.4.1.2
HPHB,0.20768976539446035,5.1.99.1 - 6.4.1.3
HPHB,0.3381084607063296,5.3.3.3 - 5.4.99.2
HPHB,-0.3115310937243643,5.3.3.3 - 6.4.1.2
HPHB,-0.12078267554408982,5.3.3.3 - 6.4.1.3
HPHB,-0.10481832190451516,5.4.99.2 - 6.4.1.2
HPHB,0.5224465333586186,5.4.99.2 - 6.4.1.3
HPHB,0.21504528534685077,6.4.1.2 - 6.4.1.3
